INDEX:,SPECIES:
166,Deoxyuridine$BIGG:M_duri_c
167,1-deoxy-D-xylulose5-phosphate$BIGG:M_dxyl5p_c
168,D-Erythrose4-phosphate$BIGG:M_e4p_c
169,Enoylglutaryl-[acyl-carrierprotein]methylester$BIGG:M_egmeACP_c
170,D-erythro-1-(Imidazol-4-yl)glycerol3-phosphate$BIGG:M_eig3p_c
171,Enoylpimeloyl-[acyl-carrierprotein]methylester$BIGG:M_epmeACP_c
172,Ethanol$BIGG:M_etoh_c
173,D-Fructose6-phosphate$BIGG:M_f6p_c
174,Flavinadeninedinucleotideoxidized$BIGG:M_fad_c
175,Flavinadeninedinucleotidereduced$BIGG:M_fadh2_c
176,"D-Fructose1,6-bisphosphate$BIGG:M_fdp_c"
177,Fe2+$BIGG:M_fe2_c
178,Fe3+$BIGG:M_fe3_c
179,N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide$BIGG:M_fgam_c
180,Flavodoxinreduced$BIGG:M_flxr_c
181,flavodoxinsemioxidized$BIGG:M_flxso_c
182,FMN$BIGG:M_fmn_c
183,Formate$BIGG:M_for_c
184,2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine$BIGG:M_fpram_c
185,5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide$BIGG:M_fprica_c
186,Farnesyldiphosphate$BIGG:M_frdp_c
187,Fumarate$BIGG:M_fum_c
188,Glyceraldehyde3-phosphate$BIGG:M_g3p_c
189,D-Glucose6-phosphate$BIGG:M_g6p_c
190,D-Glucosamine1-phosphate$BIGG:M_gam1p_c
191,D-Glucosamine6-phosphate$BIGG:M_gam6p_c
192,N1-(5-Phospho-D-ribosyl)glycinamide$BIGG:M_gar_c
193,Glycolaldehyde$BIGG:M_gcald_c
194,GDP$BIGG:M_gdp_c
195,D-Glucose$BIGG:M_glc_DASH_D_c
196,L-Glutamine$BIGG:M_gln_DASH_L_c
197,D-Glutamate$BIGG:M_glu_DASH_D_c
198,L-Glutamate$BIGG:M_glu_DASH_L_c
199,L-Glutamate1-semialdehyde$BIGG:M_glu1sa_c
200,L-Glutamate5-phosphate$BIGG:M_glu5p_c
201,L-Glutamate5-semialdehyde$BIGG:M_glu5sa_c
202,L-Glutamyl-tRNA(Glu)$BIGG:M_glutrna_c
203,Glyoxylate$BIGG:M_glx_c
204,Glycine$BIGG:M_gly_c
205,Glycerol$BIGG:M_glyc_c
206,(R)-Glycerate$BIGG:M_glyc_DASH_R_c
207,Glycerol3-phosphate$BIGG:M_glyc3p_c
208,Glycolate$BIGG:M_glyclt_c
209,Glutaryl-[acyl-carrierprotein]methylester$BIGG:M_gmeACP_c
210,GMP$BIGG:M_gmp_c
211,Geranyldiphosphate$BIGG:M_grdp_c
212,glutaredoxin(oxidized)$BIGG:M_grxox_c
213,glutaredoxin(reduced)$BIGG:M_grxrd_c
214,Oxidizedglutathione$BIGG:M_gthox_c
215,Reducedglutathione$BIGG:M_gthrd_c
216,GTP$BIGG:M_gtp_c
217,1-hydroxy-2-methyl-2-(E)-butenyl4-diphosphate$BIGG:M_h2mb4p_c
218,Hydrogensulfide$BIGG:M_h2s_c
219,Bicarbonate$BIGG:M_hco3_c
220,L-Homocysteine$BIGG:M_hcys_DASH_L_c
221,Hexadecanoate(n-C16:0)$BIGG:M_hdca_c
222,Hexadecanoyl-phosphate(n-C16:0)$BIGG:M_hdcap_c
223,Hexadecenoate(n-C16:1)$BIGG:M_hdcea_c
224,Hexadecanoyl-phosphate(n-C16:1)$BIGG:M_hdceap_c
225,Hexadecenoyl-CoA(n-C16:1CoA)$BIGG:M_hdcoa_c
226,trans-Hexadec-2-enoyl-CoA$BIGG:M_hdd2coa_c
227,cis-hexadec-9-enoyl-[acyl-carrierprotein](n-C16:1)$BIGG:M_hdeACP_c
228,3-Hydroxyglutaryl-[acyl-carrierprotein]methylester$BIGG:M_hgmeACP_c
229,L-Histidine$BIGG:M_his_DASH_L_c
230,L-Histidinolphosphate$BIGG:M_hisp_c
231,L-Histidinol$BIGG:M_histd_c
232,L-Homoserine$BIGG:M_hom_DASH_L_c
233,3-Hydroxypimeloyl-[acyl-carrierprotein]methylester$BIGG:M_hpmeACP_c
234,trans-Hex-2-enoyl-CoA$BIGG:M_hx2coa_c
235,Hexanoyl-CoA(n-C6:0CoA)$BIGG:M_hxcoa_c
236,Iminoaspartate$BIGG:M_iasp_c
237,Isocitrate$BIGG:M_icit_c
238,L-Isoleucine$BIGG:M_ile_DASH_L_c
239,3-(Imidazol-4-yl)-2-oxopropylphosphate$BIGG:M_imacp_c
240,IMP$BIGG:M_imp_c
241,Indole$BIGG:M_indole_c
242,Isopentenyldiphosphate$BIGG:M_ipdp_c
243,IscSsulfuracceptorprotein$BIGG:M_iscs_c
244,IscSwithboundsulfur$BIGG:M_iscssh_c
245,IscUscaffoldprotein$BIGG:M_iscu_c
246,IscUwithbound[2Fe-2S]cluster$BIGG:M_iscu_DASH_2fe2s_c
247,IscUwithtwobound[2Fe-2S]clusters$BIGG:M_iscu_DASH_2fe2s2_c
248,IscUwithbound[4Fe-4S]cluster$BIGG:M_iscu_DASH_4fe4s_c
249,potassium$BIGG:M_k_c
250,3-Deoxy-D-manno-2-octulosonate$BIGG:M_kdo_c
251,KDO(2)-lipidIV(A)$BIGG:M_kdo2lipid4_c
252,3-Deoxy-D-manno-octulosonate8-phosphate$BIGG:M_kdo8p_c
253,KDO-lipidIV(A)$BIGG:M_kdolipid4_c
254,D-Lactate$BIGG:M_lac_DASH_D_c
255,L-Leucine$BIGG:M_leu_DASH_L_c
256,"2,3,2#3#-Tetrakis(beta-hydroxymyristoyl)-D-glucosaminyl-1,6-beta-D-glucosamine1,4#-bisphosphate$BIGG:M_lipidA_c"
257,LipidADisaccharide$BIGG:M_lipidAds_c
258,"2,3-Bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl1-phosphate$BIGG:M_lipidX_c"
259,L-Lysine$BIGG:M_lys_DASH_L_c
260,L-Malate$BIGG:M_mal_DASH_L_c
261,Malonyl-[acyl-carrierprotein]$BIGG:M_malACP_c
262,Malonyl-CoA$BIGG:M_malcoa_c
263,malonyl-CoAmethylester$BIGG:M_malcoame_c
264,Methanol$BIGG:M_meoh_c
265,L-Methionine$BIGG:M_met_DASH_L_c
266,"5,10-Methenyltetrahydrofolate$BIGG:M_methf_c"
267,"5,10-Methylenetetrahydrofolate$BIGG:M_mlthf_c"
268,MoaDProteinwithboundAMP$BIGG:M_moadamp_c
269,MoaDProteinwithcarboxylate$BIGG:M_moadcoo_c
270,MoaDProteinwiththiocarboxylate$BIGG:M_moadcosh_c
271,Molybdate$BIGG:M_mobd_c
272,molybdenumcofactor$BIGG:M_moco_c
273,molybdopterin$BIGG:M_mpt_c
274,adenylatedmolybdopterin$BIGG:M_mptamp_c
275,Menaquinol8$BIGG:M_mql8_c
276,Menaquinone8$BIGG:M_mqn8_c
277,Methylglyoxal$BIGG:M_mthgxl_c
278,Sodium$BIGG:M_na1_c
279,Nicotinamideadeninedinucleotide$BIGG:M_nad_c
280,Nicotinamideadeninedinucleotide-reduced$BIGG:M_nadh_c
281,Nicotinamideadeninedinucleotidephosphate$BIGG:M_nadp_c
282,Nicotinamideadeninedinucleotidephosphate-reduced$BIGG:M_nadph_c
283,Ammonium$BIGG:M_nh4_c
284,NicotinateD-ribonucleotide$BIGG:M_nicrnt_c
285,O2$BIGG:M_o2_c
286,Oxaloacetate$BIGG:M_oaa_c
287,trans-Oct-2-enoyl-CoA$BIGG:M_oc2coa_c
288,Octanoyl-CoA(n-C8:0CoA)$BIGG:M_occoa_c
289,all-trans-Octaprenyldiphosphate$BIGG:M_octdp_c
290,3-Oxo-glutaryl-[acyl-carrierprotein]methylester$BIGG:M_ogmeACP_c
291,2-Oxo-3-hydroxy-4-phosphobutanoate$BIGG:M_ohpb_c
292,3-Oxo-pimeloyl-[acyl-carrierprotein]methylester$BIGG:M_opmeACP_c
293,Ornithine$BIGG:M_orn_c
294,Orotate$BIGG:M_orot_c
295,Orotidine5#-phosphate$BIGG:M_orot5p_c
296,"1,2-dihexadecanoyl-sn-glycerol3-phosphate$BIGG:M_pa160_c"
297,"1,2-dihexadec-9-enoyl-sn-glycerol3-phosphate$BIGG:M_pa161_c"
298,Palmitoyl-ACP(n-C16:0ACP)$BIGG:M_palmACP_c
299,Pantetheine4#-phosphate$BIGG:M_pan4p_c
300,(R)-Pantoate$BIGG:M_pant_DASH_R_c
301,"Adenosine3#,5#-bisphosphate$BIGG:M_pap_c"
302,3#-Phosphoadenylylsulfate$BIGG:M_paps_c
303,Pyridoxine5#-phosphate$BIGG:M_pdx5p_c
304,"phosphatidylethanolamine(dihexadecanoyl,n-C16:0)$BIGG:M_pe160_c"
305,"phosphatidylethanolamine(dihexadec-9enoyl,n-C16:1)$BIGG:M_pe161_c"
306,Phosphoenolpyruvate$BIGG:M_pep_c
307,L-Phenylalanine$BIGG:M_phe_DASH_L_c
308,Protoheme$BIGG:M_pheme_c
309,O-Phospho-L-homoserine$BIGG:M_phom_c
310,Phenylpyruvate$BIGG:M_phpyr_c
311,O-Phospho-4-hydroxy-L-threonine$BIGG:M_phthr_c
312,Pimeloyl-[acyl-carrierprotein]$BIGG:M_pimACP_c
313,Pimeloyl-[acyl-carrierprotein]methylester$BIGG:M_pmeACP_c
314,Palmitoyl-CoA(n-C16:0CoA)$BIGG:M_pmtcoa_c
315,(R)-Pantothenate$BIGG:M_pnto_DASH_R_c
316,Porphobilinogen$BIGG:M_ppbng_c
317,Prephenate$BIGG:M_pphn_c
318,Protoporphyrin$BIGG:M_ppp9_c
319,ProtoporphyrinogenIX$BIGG:M_pppg9_c
320,5-Phospho-beta-D-ribosylamine$BIGG:M_pram_c
321,N-(5-Phospho-D-ribosyl)anthranilate$BIGG:M_pran_c
322,1-(5-Phosphoribosyl)-AMP$BIGG:M_prbamp_c
323,1-(5-Phosphoribosyl)-ATP$BIGG:M_prbatp_c
324,5-[(5-phospho-1-deoxyribulos-1-ylamino)methylideneamino]-1-(5-phosphoribosyl)imidazole-4-carboxamide$BIGG:M_prlp_c
325,L-Proline$BIGG:M_pro_DASH_L_c
326,5-Phospho-alpha-D-ribose1-diphosphate$BIGG:M_prpp_c
327,"phosphatidylserine(dihexadecanoyl,n-C16:0)$BIGG:M_ps160_c"
328,"phosphatidylserine(dihexadec-9-enoyl,n-C16:1)$BIGG:M_ps161_c"
329,O-Phospho-L-serine$BIGG:M_pser_DASH_L_c
330,Pyridoxal5#-phosphate$BIGG:M_pydx5p_c
331,Pyruvate$BIGG:M_pyr_c
332,Ubiquinone-8$BIGG:M_q8_c
333,Ubiquinol-8$BIGG:M_q8h2_c
334,Quinolinate$BIGG:M_quln_c
335,alpha-D-Ribose1-phosphate$BIGG:M_r1p_c
336,alpha-D-Ribose5-phosphate$BIGG:M_r5p_c
337,Riboflavin$BIGG:M_ribflv_c
338,D-Ribulose5-phosphate$BIGG:M_ru5p_DASH_D_c
339,Sedoheptulose7-phosphate$BIGG:M_s7p_c
340,sirohydrochlorin$BIGG:M_scl_c
341,L-Serine$BIGG:M_ser_DASH_L_c
342,Siroheme$BIGG:M_sheme_c
343,Shikimate$BIGG:M_skm_c
344,Shikimate5-phosphate$BIGG:M_skm5p_c
345,"N-Succinyl-LL-2,6-diaminoheptanedioate$BIGG:M_sl26da_c"
346,N-Succinyl-2-L-amino-6-oxoheptanedioate$BIGG:M_sl2a6o_c
347,Sulfite$BIGG:M_so3_c
348,Sulfate$BIGG:M_so4_c
349,Succinate$BIGG:M_succ_c
350,Succinyl-CoA$BIGG:M_succoa_c
351,O-Succinyl-L-homoserine$BIGG:M_suchms_c
352,trans-Tetradec-2-enoyl-CoA$BIGG:M_td2coa_c
353,Tetradecanoyl-CoA(n-C14:0CoA)$BIGG:M_tdcoa_c
354,"2,3,4,5-Tetrahydrodipicolinate$BIGG:M_thdp_c"
355,"5,6,7,8-Tetrahydrofolate$BIGG:M_thf_c"
356,Thiaminmonophosphate$BIGG:M_thmmp_c
357,Thiaminediphosphate$BIGG:M_thmpp_c
358,L-Threonine$BIGG:M_thr_DASH_L_c
359,tRNA(Glu)$BIGG:M_trnaglu_c
360,L-Tryptophan$BIGG:M_trp_DASH_L_c
361,L-Tyrosine$BIGG:M_tyr_DASH_L_c
362,"UDP-2,3-bis(3-hydroxytetradecanoyl)glucosamine$BIGG:M_u23ga_c"
363,UDP-3-O-(3-hydroxytetradecanoyl)-N-acetylglucosamine$BIGG:M_u3aga_c
